# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
plotter1;60;2021-12-31 09:28:42;nvme1n1;742.63;3867.60;42205.53;0.00;62.04;0.43;0.56;9.27
plotter1;60;2021-12-31 09:28:42;nvme0n1;746.70;3873.80;42572.87;0.00;62.20;0.33;0.43;9.47
plotter1;60;2021-12-31 09:28:42;nvme2n1;742.12;3774.60;42330.27;0.00;62.13;0.38;0.50;9.08
plotter1;60;2021-12-31 09:28:42;sda;10.78;525.80;0.00;0.00;48.76;0.10;9.32;2.93
plotter1;60;2021-12-31 09:28:42;sdb;10.37;504.60;0.00;0.00;48.68;0.05;5.08;2.40
plotter1;60;2021-12-31 09:28:42;sdc;8.32;400.07;0.00;0.00;48.10;0.05;6.06;1.69
plotter1;60;2021-12-31 09:28:42;sdd;8.30;385.40;0.00;0.00;46.43;0.06;7.57;2.18
plotter1;60;2021-12-31 09:28:42;sde;5.07;0.00;43.67;0.00;8.62;0.01;1.83;0.09
plotter1;60;2021-12-31 09:28:42;sde1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 09:28:42;sde2;5.07;0.00;43.67;0.00;8.62;0.01;1.83;0.09
plotter1;60;2021-12-31 09:28:42;sdf;14.00;723.47;0.00;0.00;51.68;0.10;7.02;3.51
plotter1;60;2021-12-31 09:28:42;sdg;7.30;350.53;0.00;0.00;48.02;0.04;5.50;1.76
plotter1;60;2021-12-31 09:28:42;sdh;5.80;345.73;0.40;0.00;59.68;0.02;4.20;1.59
plotter1;60;2021-12-31 09:28:42;sdi;5.38;315.73;0.00;0.00;58.65;0.02;3.79;1.32
plotter1;60;2021-12-31 09:28:42;dm-0;2207.17;11516.00;127106.73;0.00;62.81;1.12;0.51;13.49
plotter1;60;2021-12-31 09:28:42;sdj;3.87;204.67;0.00;0.00;52.93;0.01;3.73;0.77
plotter1;60;2021-12-31 09:28:42;sdk;6.28;336.87;0.00;0.00;53.61;0.04;6.98;2.17
plotter1;60;2021-12-31 09:28:42;sdl;3.93;220.13;0.00;0.00;55.97;0.03;7.44;1.40
